Data,Previsões
2024-06-02,0.0
2024-06-09,0.0
2024-06-16,0.0
2024-06-23,0.0
2024-06-30,0.0
2024-07-07,0.0
2024-07-14,0.0
2024-07-21,0.0
2024-07-28,0.0
2024-08-04,0.0
2024-08-11,0.0
2024-08-18,0.0
2024-08-25,0.0
2024-09-01,0.0
2024-09-08,0.0
2024-09-15,0.0
2024-09-22,0.0
2024-09-29,0.0
2024-10-06,0.0
2024-10-13,0.0
2024-10-20,0.0
2024-10-27,0.0
2024-11-03,0.0
2024-11-10,0.0
2024-11-17,0.0
2024-11-24,0.0
2024-12-01,0.0
2024-12-08,0.0
2024-12-15,0.0
2024-12-22,0.0
2024-12-29,0.0
2025-01-05,0.0
2025-01-12,0.0
2025-01-19,0.0
2025-01-26,0.0
2025-02-02,0.0
2025-02-09,0.0
2025-02-16,0.0
2025-02-23,0.0
2025-03-02,0.0
2025-03-09,0.0
2025-03-16,0.0
2025-03-23,0.49159820342264027
2025-03-30,29.910558860186036
2025-04-06,35.85313300700505
2025-04-13,122.42108905658789
2025-04-20,202.9834822267688
2025-04-27,112.12866892674809
2025-05-04,115.03019441056526
2025-05-11,62.65829809012274
2025-05-18,51.63292383641128
2025-05-25,0.0
2025-06-01,0.0
2025-06-08,0.0
2025-06-15,0.0
2025-06-22,0.0
2025-06-29,0.0
2025-07-06,0.0
2025-07-13,0.0
2025-07-20,0.0
2025-07-27,0.0
2025-08-03,0.0
2025-08-10,0.0
2025-08-17,0.0
2025-08-24,0.0
2025-08-31,0.0
2025-09-07,0.0
2025-09-14,0.0
2025-09-21,0.0
2025-09-28,0.0
2025-10-05,0.0
2025-10-12,0.0
2025-10-19,0.0
2025-10-26,0.0
2025-11-02,0.0
2025-11-09,0.0
2025-11-16,0.0
2025-11-23,0.0
2025-11-30,0.0
2025-12-07,0.0
2025-12-14,0.0
2025-12-21,0.0
2025-12-28,0.0
2026-01-04,0.0
2026-01-11,0.0
2026-01-18,0.0
2026-01-25,0.0
2026-02-01,0.0
2026-02-08,0.0
2026-02-15,0.0
2026-02-22,0.0
2026-03-01,0.0
2026-03-08,0.0
2026-03-15,0.0
2026-03-22,0.0
2026-03-29,0.0
2026-04-05,0.0
2026-04-12,30.99205887145967
2026-04-19,105.9054069247391
2026-04-26,12.130716559021785
2026-05-03,25.79960728164545
2026-05-10,0.0
2026-05-17,0.0
2026-05-24,0.0
